Classifier,CV_Mean,CV_Std,CV_Min,CV_Max,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
LogisticRegression,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RidgeClassifier,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC_RBF,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVC_Linear,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LinearSVC,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree_Depth5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BaggingClassifier,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest_Depth5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP_Small,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MLP_Medium,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,0.9,0.20000000000000004,0.5,1.0,0.5,1.0,1.0,1.0,1.0
SVC_Poly,0.8,0.4,0.0,1.0,1.0,1.0,1.0,0.0,1.0
KNN_3,0.7,0.4,0.0,1.0,0.5,1.0,1.0,0.0,1.0
KNN_5,0.3,0.24494897427831783,0.0,0.5,0.5,0.5,0.5,0.0,0.0
KNN_7,,,,,,,,1.0,1.0
